                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
    0:    4:lda     |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    1:    8:-       |   4:lda     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    2:    8:-       |   8:-       |   4:lda     |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    3:    8:-       |   8:-       |   8:-       |   4:lda     |   0:-       BUS_LOAD  MEM[0] accepted 1
    4:    8:-       |   8:-       |   8:-       |   8:-       |   4:lda     r2=0  BUS_LOAD  MEM[0] accepted 1
    5:    8:lda     |   8:-       |   8:-       |   8:-       |   8:-       BUS_LOAD  MEM[0] accepted 1
    6:   12:-       |   8:lda     |   8:-       |   8:-       |   8:-       BUS_LOAD  MEM[8] accepted 1
    7:   12:-       |  12:-       |   8:lda     |   8:-       |   8:-       BUS_LOAD  MEM[8] accepted 1
    8:   12:-       |  12:-       |  12:-       |   8:lda     |   8:-       BUS_LOAD  MEM[8] accepted 1
    9:   12:-       |  12:-       |  12:-       |  12:-       |   8:lda     r3=4096  BUS_LOAD  MEM[8] accepted 1
   10:   12:blbs    |  12:-       |  12:-       |  12:-       |  12:-       BUS_LOAD  MEM[8] accepted 1
   11:   16:-       |  12:blbs    |  12:-       |  12:-       |  12:-       BUS_LOAD  MEM[8] accepted 1
   12:   16:-       |  16:-       |  12:blbs    |  12:-       |  12:-       BUS_LOAD  MEM[8] accepted 1
   13:   16:-       |  16:-       |  16:-       |  12:blbs    |  12:-       BUS_LOAD  MEM[8] accepted 1
   14:   16:-       |  16:-       |  16:-       |  16:-       |  12:blbs    BUS_LOAD  MEM[8] accepted 1
   15:   16:stq     |  16:-       |  16:-       |  16:-       |  16:-       BUS_LOAD  MEM[8] accepted 1
   16:   20:-       |  16:stq     |  16:-       |  16:-       |  16:-       BUS_LOAD  MEM[16] accepted 1
   17:   20:-       |  20:-       |  16:stq     |  16:-       |  16:-       BUS_LOAD  MEM[16] accepted 1
   18:   20:-       |  20:-       |  20:-       |  16:stq     |  16:-       BUS_STORE MEM[4096] = 0 accepted 1
   19:   20:-       |  20:-       |  20:-       |  20:-       |  16:stq     BUS_LOAD  MEM[16] accepted 1
   20:   20:addq    |  20:-       |  20:-       |  20:-       |  20:-       BUS_LOAD  MEM[16] accepted 1
   21:   24:-       |  20:addq    |  20:-       |  20:-       |  20:-       BUS_LOAD  MEM[16] accepted 1
   22:   24:-       |  24:-       |  20:addq    |  20:-       |  20:-       BUS_LOAD  MEM[16] accepted 1
   23:   24:-       |  24:-       |  24:-       |  20:addq    |  20:-       BUS_LOAD  MEM[16] accepted 1
   24:   24:-       |  24:-       |  24:-       |  24:-       |  20:addq    r3=4104  BUS_LOAD  MEM[16] accepted 1
   25:   24:addq    |  24:-       |  24:-       |  24:-       |  24:-       BUS_LOAD  MEM[16] accepted 1
   26:   28:-       |  24:addq    |  24:-       |  24:-       |  24:-       BUS_LOAD  MEM[24] accepted 1
   27:   28:-       |  28:-       |  24:addq    |  24:-       |  24:-       BUS_LOAD  MEM[24] accepted 1
   28:   28:-       |  28:-       |  28:-       |  24:addq    |  24:-       BUS_LOAD  MEM[24] accepted 1
   29:   28:-       |  28:-       |  28:-       |  28:-       |  24:addq    r2=1  BUS_LOAD  MEM[24] accepted 1
   30:   28:cmple   |  28:-       |  28:-       |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
   31:   32:-       |  28:cmple   |  28:-       |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
   32:   32:-       |  32:-       |  28:cmple   |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
   33:   32:-       |  32:-       |  32:-       |  28:cmple   |  28:-       BUS_LOAD  MEM[24] accepted 1
   34:   32:-       |  32:-       |  32:-       |  32:-       |  28:cmple   r1=1  BUS_LOAD  MEM[24] accepted 1
   35:   32:bne     |  32:-       |  32:-       |  32:-       |  32:-       BUS_LOAD  MEM[24] accepted 1
   36:   36:-       |  32:bne     |  32:-       |  32:-       |  32:-       BUS_LOAD  MEM[32] accepted 1
   37:   36:-       |  36:-       |  32:bne     |  32:-       |  32:-       BUS_LOAD  MEM[32] accepted 1
   38:   36:-       |  36:-       |  36:-       |  32:bne     |  32:-       BUS_LOAD  MEM[32] accepted 1
   39:   12:-       |  36:-       |  36:-       |  36:-       |  32:bne     BUS_LOAD  MEM[8] accepted 1
   40:   12:blbs    |  12:-       |  36:-       |  36:-       |  36:-       BUS_LOAD  MEM[8] accepted 1
   41:   16:-       |  12:blbs    |  12:-       |  36:-       |  36:-       BUS_LOAD  MEM[8] accepted 1
   42:   16:-       |  16:-       |  12:blbs    |  12:-       |  36:-       BUS_LOAD  MEM[8] accepted 1
   43:   16:-       |  16:-       |  16:-       |  12:blbs    |  12:-       BUS_LOAD  MEM[8] accepted 1
   44:   24:-       |  16:-       |  16:-       |  16:-       |  12:blbs    BUS_LOAD  MEM[16] accepted 1
   45:   24:addq    |  24:-       |  16:-       |  16:-       |  16:-       BUS_LOAD  MEM[16] accepted 1
   46:   28:-       |  24:addq    |  24:-       |  16:-       |  16:-       BUS_LOAD  MEM[24] accepted 1
