PC=0000000000000000, REG[ 1]=0000000000000001
PC=0000000000000004, REG[ 1]=0000000000000002
PC=0000000000000008, REG[ 1]=0000000000000004
PC=000000000000000c, REG[ 1]=0000000000000008
PC=0000000000000010, REG[ 1]=0000000000000010
PC=0000000000000014, REG[ 1]=0000000000000020
PC=0000000000000018, REG[ 1]=0000000000000040
PC=000000000000001c, REG[ 1]=0000000000000080
PC=0000000000000020, REG[ 1]=0000000000000100
PC=0000000000000024, REG[ 1]=0000000000000200
PC=0000000000000028, REG[ 1]=0000000000000400
PC=000000000000002c, REG[ 1]=0000000000000800
PC=0000000000000030, REG[ 1]=0000000000001000
PC=0000000000000034, REG[ 1]=0000000000002000
PC=0000000000000038, REG[ 1]=0000000000004000
PC=000000000000003c, REG[ 1]=0000000000008000
PC=0000000000000040, ---
